iter	MultiClass
127	0.2656887153
128	0.2648553653
129	0.2638773559
130	0.2630338281
131	0.2625238936
132	0.2623524017
133	0.2619229793
134	0.2616786247
135	0.2615174097
136	0.2607022569
137	0.2596615681
138	0.2594309399
139	0.2584522207
140	0.2578068796
141	0.2566391896
142	0.2564768824
143	0.2555427754
144	0.2552608494
145	0.2542463088
146	0.2533620568
147	0.2529258416
148	0.2522213867
149	0.2520593706
150	0.2516342529
151	0.2511040733
152	0.2501851772
153	0.2493408911
154	0.2484964991
155	0.2478891836
156	0.2474132467
157	0.2472776951
158	0.2462977315
159	0.2449864708
160	0.2446805847
161	0.2442250698
162	0.2439377472
163	0.2432577859
164	0.2431159512
165	0.24290178
166	0.242343769
167	0.2416504627
168	0.2415546138
169	0.2409014971
170	0.2407369733
171	0.2402248176
172	0.2396345971
173	0.2391283798
174	0.2389959418
175	0.2386532215
176	0.2384798152
177	0.2383376398
178	0.2382229872
179	0.2375552268
180	0.2371932396
181	0.2363233173
182	0.2359966131
183	0.2357289451
184	0.2356082266
185	0.2351212007
186	0.2346948991
187	0.2346025047
188	0.2343956196
189	0.2338284041
190	0.2336321605
191	0.232909939
192	0.2327855853
193	0.2323406513
194	0.2321784761
195	0.2317966238
196	0.2316748912
197	0.2315180909
198	0.231159598
199	0.2309059238
200	0.2305221713
201	0.2304463774
202	0.2297100432
203	0.229117235
204	0.2287612903
205	0.2283985438
206	0.2282169644
207	0.2281079059
208	0.227911659
209	0.2278216696
210	0.2275325138
211	0.22742837
212	0.2268453745
213	0.2265812024
214	0.2263887789
215	0.2263001234
216	0.2262392161
217	0.2257746483
218	0.2254063401
219	0.2252852948
220	0.2249758097
221	0.2245826266
222	0.224382694
223	0.2234755691
224	0.2233495984
225	0.2229631655
226	0.2228130924
227	0.2226496523
228	0.2224765483
229	0.2222790397
230	0.2221756509
231	0.2220160659
232	0.2218958243
233	0.2210494694
234	0.2208333228
235	0.2204030864
236	0.2201494131
237	0.2197817405
238	0.2193182692
239	0.2189684247
240	0.2188833101
241	0.2186854052
242	0.2185394387
243	0.2183962643
244	0.2181695093
245	0.217990689
246	0.2177067915
247	0.2175951603
248	0.2175162305
249	0.21738291
250	0.2171802995
251	0.2169949911
252	0.2167024056
253	0.2166315493
254	0.2163540728
255	0.2161286289
256	0.2160330649
257	0.2159609718
258	0.2156112359
259	0.2154477705
260	0.2149888923
261	0.2146663791
262	0.2145798606
263	0.21438933
264	0.2143059411
265	0.2140274804
266	0.213952716
267	0.2134816003
268	0.2133917911
269	0.2130686687
270	0.2130003746
271	0.2128337604
272	0.212737811
273	0.2126700006
274	0.2125816055
275	0.212525199
276	0.2124382328
277	0.2121373322
278	0.2117394563
279	0.2114444157
280	0.2111401155
281	0.2110953676
282	0.2109020928
283	0.2108376399
284	0.210755163
285	0.2107071836
286	0.2106442816
287	0.2104913133
288	0.2104031431
289	0.2103091364
290	0.2102348366
291	0.2100849427
292	0.2099761814
293	0.2099214745
294	0.2098655335
295	0.2096123284
296	0.2095603242
297	0.2093485901
298	0.2091155919
299	0.2089835221
300	0.2088703325
301	0.2087004746
302	0.2086397402
303	0.2085490667
304	0.2084953965
305	0.2082898311
306	0.208232107
307	0.2081727153
308	0.2079825078
309	0.2079210794
310	0.2078317808
311	0.2076886842
312	0.2074341103
313	0.2072974925
314	0.207212092
315	0.2071438245
316	0.2070379627
317	0.2069381218
318	0.2068719739
319	0.206180514
320	0.2059754054
321	0.2058738242
322	0.2058296392
323	0.2057621184
324	0.2056593332
325	0.2056048232
326	0.2055349371
327	0.2053618478
328	0.2052468973
329	0.2051991236
330	0.2050505885
331	0.2049212804
332	0.2048486449
333	0.2047100102
334	0.2045674958
335	0.2045341688
336	0.204353461
337	0.2043016213
338	0.2041625635
339	0.2041297225
340	0.2040032787
341	0.20396628
342	0.2039137391
343	0.2037429153
344	0.2036604108
345	0.2034470884
346	0.2033805711
347	0.2033291843
348	0.2032062444
349	0.2028286979
350	0.2027711197
351	0.2025474491
352	0.2024011304
353	0.2021165494
354	0.2020068597
355	0.2017925438
356	0.201756893
357	0.2016713727
358	0.2015570551
359	0.2015051966
360	0.2010224389
361	0.2009752554
362	0.2008008008
363	0.2007505846
364	0.2006860872
365	0.2005250375
366	0.2004675984
367	0.2004269533
368	0.200365889
369	0.2003271836
370	0.2001606527
371	0.2000640151
372	0.2000326015
373	0.1999338234
374	0.1996400699
375	0.1996107123
376	0.1995169385
377	0.1994167487
378	0.199358982
379	0.1992269378
380	0.1989901346
381	0.1989130049
382	0.1988696259
383	0.1988055044
384	0.1987389482
385	0.1986220129
386	0.1986016776
387	0.1983811613
388	0.1982908746
389	0.1982292154
390	0.1981056869
391	0.1977141827
392	0.1976651573
393	0.1975980575
394	0.1975572891
395	0.1970939435
396	0.1968841576
397	0.196837393
398	0.1967864966
399	0.196729493
400	0.1966349231
401	0.196414155
402	0.1960490037
403	0.1957618384
404	0.1956483929
405	0.1955695389
406	0.1955259143
407	0.1954746789
408	0.1954114062
409	0.1953701327
410	0.1953289082
411	0.1952984992
412	0.1952755935
413	0.1952539496
414	0.1950579868
415	0.1949909721
416	0.1949404701
417	0.1947947986
418	0.194748733
419	0.1946240297
420	0.1945726681
421	0.1944277529
422	0.194329168
423	0.194273938
424	0.1942390449
425	0.1940729807
426	0.1939094874
427	0.1938745835
428	0.1938104237
429	0.1937053695
430	0.193600973
431	0.1935791168
432	0.1934271787
433	0.1933890721
434	0.1933309859
435	0.1932798825
436	0.1931717932
437	0.1931380127
438	0.1931142859
439	0.1928204816
440	0.1927748074
441	0.192602829
442	0.1925609911
443	0.1925135647
444	0.1924605025
445	0.1923107075
446	0.1922890977
447	0.1920994958
448	0.1920438239
449	0.1920131106
450	0.191898785
451	0.1918682506
452	0.1918402154
453	0.1917910382
454	0.191724886
455	0.1916870462
456	0.1916557128
457	0.1915172345
458	0.1914768632
459	0.1913117258
460	0.191236329
461	0.1911257215
462	0.1910727961
463	0.1909947155
464	0.1909571723
465	0.1909023538
466	0.1907340607
467	0.1906880546
468	0.1905073885
469	0.1904634028
470	0.1903609602
471	0.1903253054
472	0.1902720994
473	0.1902005829
474	0.1901403763
475	0.1901061626
476	0.1900710352
477	0.1900522028
478	0.1899328224
479	0.1898958202
480	0.1898425908
481	0.1898079222
482	0.1897710245
483	0.1895996807
484	0.189574354
485	0.1895477465
486	0.189495076
487	0.1893852818
488	0.1891797221
489	0.1890981129
490	0.18905695
491	0.1889667697
492	0.188938538
493	0.1888991222
494	0.1888581109
495	0.1883773882
496	0.1883210753
497	0.1882867491
498	0.1882654496
499	0.1882419331
500	0.1881336201
501	0.1879999671
502	0.1877832774
503	0.1877304222
504	0.1876230008
505	0.1875901147
506	0.1875009464
507	0.1874874382
508	0.1874591494
509	0.187416823
510	0.1873802658
511	0.1871852083
512	0.1871154396
513	0.1870879238
514	0.1870595786
515	0.1868666628
516	0.1868456929
517	0.1867627002
518	0.1867278868
519	0.1866963779
520	0.1866641322
521	0.1865466434
522	0.1864861588
523	0.1863871331
524	0.1863579352
525	0.1863182446
526	0.186285932
527	0.1861796965
528	0.1861552086
529	0.1861102304
530	0.1860957242
531	0.1860289593
532	0.1859996439
533	0.1859603376
534	0.1859214316
535	0.1858695666
536	0.185833108
537	0.185801236
538	0.1857778875
539	0.1857610312
540	0.1857482228
541	0.1857182135
542	0.185692666
543	0.1855917605
544	0.1855490602
545	0.1855204581
546	0.1853983724
547	0.1853614173
548	0.1853454386
549	0.1852984985
550	0.1851953522
551	0.1851759304
552	0.1851267325
553	0.1850624229
554	0.1850198513
555	0.1850072862
556	0.1849792697
557	0.1849567979
558	0.184919616
559	0.1843453969
560	0.1842431905
561	0.1841383073
562	0.1841042625
563	0.184053347
564	0.1840375763
565	0.184012914
566	0.1837612732
567	0.1837247513
568	0.183687716
569	0.1835078344
570	0.1834869857
571	0.1834684184
572	0.1833326942
573	0.1832951094
574	0.1832677604
575	0.1832406242
576	0.1831620582
577	0.1831357687
578	0.1830893682
579	0.1830309996
580	0.1830184328
581	0.1830096371
582	0.1829686984
583	0.1828539905
584	0.1828284389
585	0.1827719241
586	0.1827380327
587	0.1827230033
588	0.1826695407
589	0.1825899715
590	0.1825450709
591	0.1825167574
592	0.182507997
593	0.1824759728
594	0.1824053541
595	0.1823392113
596	0.1823220618
597	0.1822297921
598	0.1821938457
599	0.1821647976
600	0.1821068779
601	0.1818909341
602	0.1818651268
603	0.1818279601
604	0.1817868609
605	0.1817341541
606	0.1816781641
607	0.1816248206
608	0.1816087933
609	0.1815830201
610	0.1815498731
611	0.1815209206
612	0.1814808774
613	0.1814552861
614	0.1813444776
615	0.1813144836
616	0.1812796487
617	0.1812479803
618	0.1812383788
619	0.181157986
620	0.1811169671
621	0.1809966752
622	0.1809701704
623	0.1809158664
624	0.1807972825
625	0.1807710279
626	0.1807456232
627	0.1807241872
628	0.180701882
629	0.1806816708
630	0.1804464129
631	0.1804174711
632	0.1802865214
633	0.1802609256
634	0.180222359
635	0.1802125085
636	0.1799401905
637	0.1798927754
638	0.1798789295
639	0.1798588791
640	0.1798406642
641	0.1798297232
642	0.1798153884
643	0.1797563995
644	0.1796593803
645	0.1795609446
646	0.179539838
647	0.1794919326
648	0.179465269
649	0.1794377983
650	0.1794192806
651	0.179390533
652	0.1793686065
653	0.1793503366
654	0.1793364532
655	0.1793046961
656	0.1792004585
657	0.1791648852
658	0.1791246911
659	0.1789905751
660	0.1789762941
661	0.1789208033
662	0.1789095623
663	0.1788695101
664	0.1788577717
665	0.1788363333
666	0.1787310575
667	0.1787170165
668	0.1786743589
669	0.1786545416
670	0.178525505
671	0.1784486858
672	0.1783031068
673	0.178296464
674	0.178273509
675	0.1782514661
676	0.1782265526
677	0.1782097864
678	0.178198256
679	0.1781763719
680	0.1781652533
681	0.1781383208
682	0.1781191786
683	0.1778520849
684	0.1778260661
685	0.1777637311
686	0.1777499176
687	0.1777370879
688	0.1777010188
689	0.177673834
690	0.1776524586
691	0.1776379815
692	0.1774977021
693	0.1774795559
694	0.1774547424
695	0.1774409877
696	0.1774131788
697	0.1772870314
698	0.1772613698
699	0.1771594505
700	0.1771342373
701	0.1771227284
702	0.1770292515
703	0.177005286
704	0.1769988959
705	0.1769851122
706	0.1769782047
707	0.1769600029
708	0.1769297913
709	0.1769165284
710	0.1769032247
711	0.1768886866
712	0.1767684922
713	0.1765476461
714	0.1765369042
715	0.1764922367
716	0.1764656956
717	0.1764559351
718	0.1764333952
719	0.1763963027
720	0.1763385251
721	0.1763181115
722	0.1763085874
723	0.1763027479
724	0.1762929067
725	0.1762747424
726	0.1762669541
727	0.1762187926
728	0.1761999907
729	0.176166753
730	0.1761086951
731	0.176087858
732	0.1760546744
733	0.1760197385
734	0.1759994603
735	0.1759693612
736	0.1759471935
737	0.1759235555
738	0.1759083176
739	0.1758915396
740	0.175879387
741	0.1757674892
742	0.1757375419
743	0.1757072264
744	0.1756943175
745	0.1756603128
746	0.1756512899
747	0.1756214717
748	0.175584499
749	0.1755696333
750	0.1754874099
751	0.1753638005
752	0.1753476245
753	0.1753377314
754	0.1753158405
755	0.1752827486
756	0.1752651198
757	0.1752317513
758	0.1751977925
759	0.1751714931
760	0.1751514291
761	0.1751341534
762	0.1751217385
763	0.1750967155
764	0.1750881207
765	0.1750648858
766	0.1750450582
767	0.1749210226
768	0.1748581484
769	0.1748076985
770	0.1747342882
771	0.1747027464
772	0.1746948501
773	0.1746884165
774	0.1746189986
775	0.1745894747
776	0.1745414119
777	0.1745325373
778	0.1744921865
779	0.1744554051
780	0.174447838
781	0.1744408656
782	0.1742506888
783	0.1742403474
784	0.1742074465
785	0.1741806156
786	0.1741359196
787	0.1741279844
788	0.174099731
789	0.1740828743
790	0.1739978478
791	0.173815325
792	0.1737847553
793	0.1737369971
794	0.1736897629
795	0.1736708564
796	0.1736343892
797	0.1736088123
798	0.1735181671
799	0.1734915896
800	0.1734650445
801	0.1734515238
802	0.1734266192
803	0.1732887564
804	0.1731296896
805	0.1731209644
806	0.173100066
807	0.1730838857
808	0.173061475
809	0.173054094
810	0.1730207662
811	0.1729925059
812	0.1729749681
813	0.1729697438
814	0.1729307657
815	0.1729153978
816	0.1729045442
817	0.172882591
818	0.1728699795
819	0.1728499077
820	0.1728297564
821	0.1728051861
822	0.1727917347
823	0.1727521389
824	0.1727367688
825	0.1727255577
826	0.172704451
827	0.1726789268
828	0.1726648792
829	0.1724098465
830	0.1724013213
831	0.1723933307
832	0.172380215
833	0.1723572779
834	0.1723342066
835	0.1719184615
836	0.171834106
837	0.1718024464
838	0.1717755424
839	0.1717675345
840	0.1717457424
841	0.1717156997
842	0.1716987923
843	0.1716859082
844	0.1716746285
845	0.1716417252
846	0.1716201894
847	0.171603179
848	0.1715654567
849	0.1715447853
850	0.1715327936
851	0.1714519439
852	0.171308895
853	0.1712944832
854	0.1712286584
855	0.1711084367
856	0.1710200384
857	0.1709567831
858	0.1709508304
859	0.1709415186
860	0.1709305196
861	0.1709067717
862	0.1708870157
863	0.1708760825
864	0.1708707322
865	0.1708498978
866	0.1708386847
867	0.1708320597
868	0.1708040288
869	0.1707864635
870	0.1707780114
871	0.1707646298
872	0.170703516
873	0.1706197967
874	0.1705786879
875	0.1705730858
876	0.1704306763
877	0.1704199213
878	0.1704016979
879	0.1703816411
880	0.170368569
881	0.1703461456
882	0.1703111222
883	0.1702767296
884	0.1701881696
885	0.1701599397
886	0.1701447911
887	0.1700104975
888	0.169977901
889	0.1699603892
890	0.1699560009
891	0.1698376268
892	0.1698297793
893	0.1698247172
894	0.1696237559
895	0.169615392
896	0.1695481826
897	0.1695202579
898	0.1695147937
899	0.1694925904
900	0.1694870695
901	0.1694700616
902	0.1693640601
903	0.1692792569
904	0.1692729086
905	0.1692583243
906	0.1692484462
907	0.169228236
908	0.1692106901
909	0.1691846109
910	0.1690168788
911	0.1689960262
912	0.1689715243
913	0.1689639963
914	0.1689195142
915	0.1689066696
916	0.1688857102
917	0.1688747731
918	0.1688702028
919	0.1688567758
920	0.1688455292
921	0.1688360159
922	0.168804385
923	0.168787362
924	0.1687382428
925	0.1687268598
926	0.1687066285
927	0.1686876407
928	0.1686685485
929	0.1685013267
930	0.1684633155
931	0.1684487036
932	0.1684196194
933	0.1683166548
934	0.1683133532
935	0.1683009423
936	0.1682919077
937	0.1682768321
938	0.1682543433
939	0.1682288862
940	0.1682125397
941	0.1679786483
942	0.1679114125
943	0.1679056249
944	0.1678955693
945	0.1678804241
946	0.1678697718
947	0.1678511539
948	0.1677265171
949	0.1677078755
950	0.1677027714
951	0.1676811044
952	0.1676670312
953	0.1676271565
954	0.1674962861
955	0.16747289
956	0.1674621115
957	0.1674529079
958	0.1674353319
959	0.1672772893
960	0.1672612565
961	0.1672484592
962	0.1672302084
963	0.1672180524
964	0.1672057387
965	0.1671975249
966	0.1671629705
967	0.1671361891
968	0.1671229042
969	0.1671173753
970	0.1667491002
971	0.1667426285
972	0.1666785693
973	0.1666497563
974	0.1666407228
975	0.1665561348
976	0.1665414951
977	0.1665173489
978	0.1665106023
979	0.1664928454
980	0.1664840443
981	0.1664597349
982	0.166436646
983	0.1664312744
984	0.1664205093
985	0.1663089779
986	0.1662803708
987	0.1661436448
988	0.1661376075
989	0.1661229256
990	0.1660781154
991	0.1660698071
992	0.1660439287
993	0.1660258303
994	0.1659400198
995	0.1659314436
996	0.1659172511
997	0.1658355392
998	0.1658307377
999	0.1658109209
