|wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|collectionArtistId|collectionArtistName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|collectionPrice|trackPrice|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistViewUrl
86|track|song|7420827|1440762051|1440762233|Ludovico Einaudi|Una Mattina|Come Un Fiore|Una Mattina|Come Un Fiore|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/come-un-fiore/1440762051?i=1440762233&uo=4|https://music.apple.com/us/album/come-un-fiore/1440762051?i=1440762233&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/59/ce/c3/59cec3f6-09c7-d046-5a68-c31f3971f2ef/mzaf_3924850547635097058.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg|11.99|1.29|2004-01-01T12:00:00Z|notExplicit|notExplicit|1|1|13|8|261667|USA|USD|Classical|True|
87|track|song|7420827|1589791548|1589791549|Ludovico Einaudi|Underwater (Video Edition)|Luminous|Underwater (Video Edition)|Luminous|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/luminous/1589791548?i=1589791549&uo=4|https://music.apple.com/us/album/luminous/1589791548?i=1589791549&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/47/b0/43/47b043d3-f92f-b236-727c-9b16d39518a9/mzaf_16195629422462736043.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2021-10-15T07:00:00Z|notExplicit|notExplicit|1|1|12|1|283280|USA|USD|Classical Crossover|True|
88|track|song|7420827|1589791548|1589791555|Ludovico Einaudi|Underwater (Video Edition)|Natural Light|Underwater (Video Edition)|Natural Light|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/natural-light/1589791548?i=1589791555&uo=4|https://music.apple.com/us/album/natural-light/1589791548?i=1589791555&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ff/aa/4f/ffaa4f7f-5cf7-c68c-b56e-41965761a77c/mzaf_765216706245350659.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2021-10-29T07:00:00Z|notExplicit|notExplicit|1|1|12|5|335542|USA|USD|Classical Crossover|True|
89|track|song|7420827|1440749051|1440750893|Ludovico Einaudi|Islands - Essential Einaudi|Indaco|Islands - Essential Einaudi|Indaco|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/indaco/1440749051?i=1440750893&uo=4|https://music.apple.com/us/album/indaco/1440749051?i=1440750893&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/fc/26/e5/fc26e550-0d54-8cd5-d5fe-c251b38beaba/mzaf_4824745364980477721.plus.aac.p.m4a|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/30x30bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/60x60bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/100x100bb.jpg|11.99|1.29|2009-01-01T12:00:00Z|notExplicit|notExplicit|1|1|27|25|321467|USA|USD|Classical|True|
90|track|song|7420827|1589791548|1589791561|Ludovico Einaudi|Underwater (Video Edition)|Temple White|Underwater (Video Edition)|Temple White|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/temple-white/1589791548?i=1589791561&uo=4|https://music.apple.com/us/album/temple-white/1589791548?i=1589791561&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/1f/f6/25/1ff6253d-66a1-a0b9-c270-48a3dfaa8b96/mzaf_1677023765090712302.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2022-01-21T12:00:00Z|notExplicit|notExplicit|1|1|12|10|264845|USA|USD|Classical Crossover|True|
91|track|song|7420827|1440762051|1440762064|Ludovico Einaudi & Marco Decimo|Una Mattina|Resta Con Me|Una Mattina|Resta Con Me||Ludovico Einaudi|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/resta-con-me/1440762051?i=1440762064&uo=4|https://music.apple.com/us/album/resta-con-me/1440762051?i=1440762064&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/de/b7/e8/deb7e8af-f549-19e2-0008-3175583d5cec/mzaf_7496848869802499278.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg|11.99|1.29|2004-01-01T12:00:00Z|notExplicit|notExplicit|1|1|13|3|295760|USA|USD|Classical|True|
92|track|song|7420827|1440749051|1440750226|Ludovico Einaudi|Islands - Essential Einaudi|Melodia Africana III|Islands - Essential Einaudi|Melodia Africana III|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/melodia-africana-iii/1440749051?i=1440750226&uo=4|https://music.apple.com/us/album/melodia-africana-iii/1440749051?i=1440750226&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/63/35/81/63358133-4dc7-d5e3-b2a6-cee15204d5e3/mzaf_2899202791145907124.plus.aac.p.m4a|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/30x30bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/60x60bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/100x100bb.jpg|11.99|1.29|2011-01-01T12:00:00Z|notExplicit|notExplicit|1|1|27|14|285513|USA|USD|Classical|True|
93|track|song|7420827|1589791548|1589791560|Ludovico Einaudi|Underwater (Video Edition)|Atoms|Underwater (Video Edition)|Atoms|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/atoms/1589791548?i=1589791560&uo=4|https://music.apple.com/us/album/atoms/1589791548?i=1589791560&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/6f/00/ed/6f00ed8c-5ed5-741c-cac9-79e3e0114a8f/mzaf_14358958067180587993.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2021-12-03T08:00:00Z|notExplicit|notExplicit|1|1|12|9|183955|USA|USD|Classical Crossover|True|
94|track|song|7420827|1458865732|1458865926|Ludovico Einaudi, Federico Mecozzi & Redi Hasa|Seven Days Walking: Day 4|Day 4: Gravity Var. 1|Seven Days Walking: Day 4|Day 4: Gravity Var. 1||Ludovico Einaudi|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/day-4-gravity-var-1/1458865732?i=1458865926&uo=4|https://music.apple.com/us/album/day-4-gravity-var-1/1458865732?i=1458865926&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4a/88/71/4a88712e-35a9-95b2-5843-125d6ea96212/mzaf_1919446327009809063.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/6e/e2/56/6ee256d3-56f2-ce86-7cb8-0b91f1ce0fe0/00028948181445.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/6e/e2/56/6ee256d3-56f2-ce86-7cb8-0b91f1ce0fe0/00028948181445.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/6e/e2/56/6ee256d3-56f2-ce86-7cb8-0b91f1ce0fe0/00028948181445.rgb.jpg/100x100bb.jpg|||2019-06-21T12:00:00Z|notExplicit|notExplicit|1|1|11|4|328567|USA|USD|Classical|True|
95|track|song|7420827|1482345109|1482346054|Ludovico Einaudi|Seven Days Walking|Day 7: Cold Wind Var. 1|Seven Days Walking|Day 7: Cold Wind Var. 1|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/day-7-cold-wind-var-1/1482345109?i=1482346054&uo=4|https://music.apple.com/us/album/day-7-cold-wind-var-1/1482345109?i=1482346054&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/47/a2/b6/47a2b60f-c4d6-e936-8747-118555c5644b/mzaf_10974680860475289843.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/fd/b2/e4/fdb2e401-eb45-3c6b-c9ac-4ab21d5b6dc7/19UMGIM83311.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/fd/b2/e4/fdb2e401-eb45-3c6b-c9ac-4ab21d5b6dc7/19UMGIM83311.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/fd/b2/e4/fdb2e401-eb45-3c6b-c9ac-4ab21d5b6dc7/19UMGIM83311.rgb.jpg/100x100bb.jpg|49.99|1.29|2019-09-20T12:00:00Z|notExplicit|notExplicit|7|7|12|4|183413|USA|USD|Classical|True|
